stimuli_file,rating,filter,base_img,rating_type
./stimuli/aden_p25.jpg,4.375,aden,p25.jpg,realism
./stimuli/aden_p26.jpg,3.75,aden,p26.jpg,realism
./stimuli/aden_p27.jpg,3.4,aden,p27.jpg,realism
./stimuli/aden_p28.jpg,4.0,aden,p28.jpg,realism
./stimuli/aden_p29.jpg,4.5,aden,p29.jpg,realism
./stimuli/aden_p30.jpg,4.0,aden,p30.jpg,realism
./stimuli/aden_p31.jpg,4.857142857142857,aden,p31.jpg,realism
./stimuli/aden_p32.jpg,4.6,aden,p32.jpg,realism
./stimuli/aden_p33.jpg,4.333333333333333,aden,p33.jpg,realism
./stimuli/aden_p34.jpg,3.2857142857142856,aden,p34.jpg,realism
./stimuli/aden_p35.jpg,3.7777777777777777,aden,p35.jpg,realism
./stimuli/aden_p36.jpg,3.2,aden,p36.jpg,realism
./stimuli/aden_p37.jpg,3.0,aden,p37.jpg,realism
./stimuli/aden_p38.jpg,3.8333333333333335,aden,p38.jpg,realism
./stimuli/aden_p39.jpg,3.5714285714285716,aden,p39.jpg,realism
./stimuli/aden_p40.jpg,4.25,aden,p40.jpg,realism
./stimuli/aden_p41.jpg,3.625,aden,p41.jpg,realism
./stimuli/aden_p42.jpg,3.875,aden,p42.jpg,realism
./stimuli/aden_p43.jpg,3.4,aden,p43.jpg,realism
./stimuli/aden_p44.jpg,3.4444444444444446,aden,p44.jpg,realism
./stimuli/aden_p45.jpg,4.0,aden,p45.jpg,realism
./stimuli/aden_p46.jpg,4.444444444444445,aden,p46.jpg,realism
./stimuli/aden_p47.jpg,3.25,aden,p47.jpg,realism
./stimuli/aden_p48.jpg,4.0,aden,p48.jpg,realism
./stimuli/aden_p49.jpg,4.0,aden,p49.jpg,realism
./stimuli/aden_p50.jpg,3.5,aden,p50.jpg,realism
./stimuli/aden_p51.jpg,4.5,aden,p51.jpg,realism
./stimuli/aden_p52.jpg,3.875,aden,p52.jpg,realism
./stimuli/aden_p53.jpg,4.166666666666667,aden,p53.jpg,realism
./stimuli/aden_p54.jpg,3.888888888888889,aden,p54.jpg,realism
./stimuli/clarendon_01_IMG_9832.jpg,3.909090909090909,clarendon,01_IMG_9832.jpg,realism
./stimuli/clarendon_02_IMG_0047.jpg,4.0,clarendon,02_IMG_0047.jpg,realism
./stimuli/clarendon_IMG_1665.jpg,3.6666666666666665,clarendon,IMG_1665.jpg,realism
./stimuli/clarendon_IMG_3867_4.jpg,3.4,clarendon,IMG_3867_4.jpg,realism
./stimuli/clarendon_IMG_3995.jpg,2.3333333333333335,clarendon,IMG_3995.jpg,realism
./stimuli/clarendon_IMG_4140.jpg,4.0,clarendon,IMG_4140.jpg,realism
./stimuli/clarendon_IMG_4291.jpg,4.25,clarendon,IMG_4291.jpg,realism
./stimuli/clarendon_IMG_4436.jpg,4.090909090909091,clarendon,IMG_4436.jpg,realism
./stimuli/clarendon_IMG_4558.jpg,4.142857142857143,clarendon,IMG_4558.jpg,realism
./stimuli/clarendon_IMG_4884.jpg,3.8,clarendon,IMG_4884.jpg,realism
./stimuli/clarendon_IMG_5003.jpg,4.4,clarendon,IMG_5003.jpg,realism
./stimuli/clarendon_IMG_5045.jpg,4.428571428571429,clarendon,IMG_5045.jpg,realism
./stimuli/clarendon_IMG_5128.jpg,3.8,clarendon,IMG_5128.jpg,realism
./stimuli/clarendon_IMG_5150.jpg,4.0,clarendon,IMG_5150.jpg,realism
./stimuli/clarendon_IMG_5283.jpg,5.0,clarendon,IMG_5283.jpg,realism
./stimuli/clarendon_IMG_5359.jpg,4.125,clarendon,IMG_5359.jpg,realism
./stimuli/clarendon_IMG_5424.jpg,3.0,clarendon,IMG_5424.jpg,realism
./stimuli/clarendon_IMG_5541.jpg,3.142857142857143,clarendon,IMG_5541.jpg,realism
./stimuli/clarendon_IMG_5557.jpg,3.5,clarendon,IMG_5557.jpg,realism
./stimuli/clarendon_IMG_5656.jpg,4.7272727272727275,clarendon,IMG_5656.jpg,realism
./stimuli/clarendon_IMG_5792.jpg,4.333333333333333,clarendon,IMG_5792.jpg,realism
./stimuli/clarendon_IMG_5936.jpg,4.0,clarendon,IMG_5936.jpg,realism
./stimuli/clarendon_IMG_5971_.jpg,3.75,clarendon,IMG_5971_.jpg,realism
./stimuli/clarendon_IMG_5982.jpg,3.888888888888889,clarendon,IMG_5982.jpg,realism
./stimuli/clarendon_IMG_6010.jpg,3.8333333333333335,clarendon,IMG_6010.jpg,realism
./stimuli/clarendon_IMG_6177_golden_2.jpg,4.0,clarendon,IMG_6177_golden_2.jpg,realism
./stimuli/clarendon_IMG_6255_.jpg,4.0,clarendon,IMG_6255_.jpg,realism
./stimuli/clarendon_IMG_6314.jpg,3.7777777777777777,clarendon,IMG_6314.jpg,realism
./stimuli/clarendon_IMG_6426.jpg,4.142857142857143,clarendon,IMG_6426.jpg,realism
./stimuli/clarendon_IMG_6457.jpg,3.875,clarendon,IMG_6457.jpg,realism
./stimuli/clarendon_IMG_6790.jpg,3.857142857142857,clarendon,IMG_6790.jpg,realism
./stimuli/clarendon_IMG_6819.jpg,4.285714285714286,clarendon,IMG_6819.jpg,realism
./stimuli/clarendon_IMG_6837.jpg,4.5,clarendon,IMG_6837.jpg,realism
./stimuli/clarendon_IMG_7057.jpg,4.0,clarendon,IMG_7057.jpg,realism
./stimuli/clarendon_IMG_7141.jpg,4.25,clarendon,IMG_7141.jpg,realism
./stimuli/clarendon_IMG_7187.jpg,4.0,clarendon,IMG_7187.jpg,realism
./stimuli/clarendon_IMG_7392_.jpg,3.2857142857142856,clarendon,IMG_7392_.jpg,realism
./stimuli/clarendon_IMG_7450.jpg,4.6,clarendon,IMG_7450.jpg,realism
./stimuli/clarendon_IMG_7595.jpg,4.166666666666667,clarendon,IMG_7595.jpg,realism
./stimuli/clarendon_IMG_7640.jpg,4.111111111111111,clarendon,IMG_7640.jpg,realism
./stimuli/clarendon_IMG_7663.jpg,4.142857142857143,clarendon,IMG_7663.jpg,realism
./stimuli/clarendon_IMG_7753.jpg,4.75,clarendon,IMG_7753.jpg,realism
./stimuli/clarendon_IMG_7758.jpg,3.888888888888889,clarendon,IMG_7758.jpg,realism
./stimuli/clarendon_IMG_7817.jpg,4.0,clarendon,IMG_7817.jpg,realism
./stimuli/clarendon_blume.jpg,3.0,clarendon,blume.jpg,realism
./stimuli/clarendon_p01.jpg,4.5,clarendon,p01.jpg,realism
./stimuli/clarendon_p02.jpg,4.2,clarendon,p02.jpg,realism
./stimuli/clarendon_p03.jpg,3.3333333333333335,clarendon,p03.jpg,realism
./stimuli/clarendon_p04.jpg,4.428571428571429,clarendon,p04.jpg,realism
./stimuli/clarendon_p05.jpg,5.0,clarendon,p05.jpg,realism
./stimuli/clarendon_p06.jpg,4.333333333333333,clarendon,p06.jpg,realism
./stimuli/clarendon_p07.jpg,3.857142857142857,clarendon,p07.jpg,realism
./stimuli/clarendon_p08.jpg,3.75,clarendon,p08.jpg,realism
./stimuli/clarendon_p09.jpg,4.333333333333333,clarendon,p09.jpg,realism
./stimuli/clarendon_p10.jpg,3.75,clarendon,p10.jpg,realism
./stimuli/clarendon_p11.jpg,2.6666666666666665,clarendon,p11.jpg,realism
./stimuli/clarendon_p12.jpg,3.0,clarendon,p12.jpg,realism
./stimuli/clarendon_p13.jpg,3.3333333333333335,clarendon,p13.jpg,realism
./stimuli/clarendon_p14.jpg,4.363636363636363,clarendon,p14.jpg,realism
./stimuli/clarendon_p15.jpg,3.2222222222222223,clarendon,p15.jpg,realism
./stimuli/clarendon_p16.jpg,4.166666666666667,clarendon,p16.jpg,realism
./stimuli/clarendon_p17.jpg,3.5,clarendon,p17.jpg,realism
./stimuli/clarendon_p18.jpg,3.4444444444444446,clarendon,p18.jpg,realism
./stimuli/clarendon_p19.jpg,4.0,clarendon,p19.jpg,realism
./stimuli/clarendon_p20.jpg,4.375,clarendon,p20.jpg,realism
./stimuli/clarendon_p21.jpg,3.857142857142857,clarendon,p21.jpg,realism
./stimuli/clarendon_p22.jpg,3.909090909090909,clarendon,p22.jpg,realism
./stimuli/clarendon_p23.jpg,4.142857142857143,clarendon,p23.jpg,realism
./stimuli/clarendon_p24.jpg,3.8,clarendon,p24.jpg,realism
./stimuli/clarendon_p25.jpg,4.333333333333333,clarendon,p25.jpg,realism
./stimuli/clarendon_p26.jpg,4.166666666666667,clarendon,p26.jpg,realism
./stimuli/clarendon_p27.jpg,2.8,clarendon,p27.jpg,realism
./stimuli/clarendon_p28.jpg,3.4545454545454546,clarendon,p28.jpg,realism
./stimuli/clarendon_p29.jpg,3.8,clarendon,p29.jpg,realism
./stimuli/clarendon_p30.jpg,3.7777777777777777,clarendon,p30.jpg,realism
./stimuli/clarendon_p31.jpg,3.875,clarendon,p31.jpg,realism
./stimuli/clarendon_p32.jpg,3.0,clarendon,p32.jpg,realism
./stimuli/clarendon_p33.jpg,3.6666666666666665,clarendon,p33.jpg,realism
./stimuli/clarendon_p34.jpg,4.166666666666667,clarendon,p34.jpg,realism
./stimuli/clarendon_p35.jpg,3.0,clarendon,p35.jpg,realism
./stimuli/clarendon_p36.jpg,3.6666666666666665,clarendon,p36.jpg,realism
./stimuli/clarendon_p37.jpg,2.125,clarendon,p37.jpg,realism
./stimuli/clarendon_p38.jpg,3.625,clarendon,p38.jpg,realism
./stimuli/clarendon_p39.jpg,3.8,clarendon,p39.jpg,realism
./stimuli/clarendon_p40.jpg,3.230769230769231,clarendon,p40.jpg,realism
